Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent
2017,2017-03,8,,0.6,59808,,,SAGD,178558,HSESR,Husky,Athabasca,4.591402233,Sunrise,1645.5,819831.6,11.1
2018,2018-11,18,,,16878,1240.2,4086.5,SAGD,178664,SUMR,Suncor,Athabasca,2.642422048,MackayRiver,178.7,472104.9,
2016,2016-12,7,,88.8,41250,,26646.3,SAGD,179271,CNOOCLK,Nexen,Athabasca,4.49039863,LongLake,1294.3,804999.6,
2018,2018-09,18,,0.5,16639,1342.5,4793.9,SAGD,179349,SUMR,Suncor,Athabasca,2.72342574,MackayRiver,179.3,488444.5,
2018,2018-06,12,,105.6,29363,248.6,,SAGD,179357,CNRLKB,CNRL,Athabasca,2.821604139,Kirby,1518.2,506075.3,16
2018,2018-04,18,,,12750,80.8,7877.5,SAGD,179646,SUMR,Suncor,Athabasca,2.864314593,MackayRiver,179.6,514561.8,4.3
2018,2018-05,12,,91.2,30094,266.3,,SAGD,179790,CNRLKB,CNRL,Athabasca,2.856781165,Kirby,1459.4,513620.4,10.7
2018,2018-03,18,,,14370,,7309.9,SAGD,180150,SUMR,Suncor,Athabasca,2.942522311,MackayRiver,180.1,530095.1,
2016,2016-01,18,,0.3,14702,,8056.5,SAGD,180278,SUMR,Suncor,Athabasca,2.89387367,MackayRiver,180.3,521700.6,
2017,2017-08,18,,0.1,12963,567.2,8242,SAGD,180344,SUMR,Suncor,Athabasca,2.98286777,MackayRiver,180.3,537943.2,
2016,2016-03,18,,,12168,,8082.5,SAGD,180528,SUMR,Suncor,Athabasca,2.82511141,MackayRiver,180.5,510010.3,
2017,2017-07,12,,8.4,28318,169.1,,SAGD,180806,CNRLKB,CNRL,Athabasca,2.701364891,Kirby,1119.8,488421.9,
2018,2018-10,18,,,16416,1428.9,4751.4,SAGD,180977,SUMR,Suncor,Athabasca,2.715006959,MackayRiver,181,491353,
