Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent,k_14
2017,2017-02,19,NA,67.4,17041,2.3,2634.4,SAGD,54053,COGGD,Connacher Oil And Gas Limited,Athabasca,4.740269183,GreatDivide,1444.8,256223.4,NA,7
2019,2019-03,19,NA,66.5,16639,NA,2853.2,SAGD,54788,COGGD,Connacher Oil And Gas Limited,Athabasca,4.755684172,GreatDivide,1507.9,260554.9,NA,7
2016,2016-05,13,NA,14.3,13053,NA,20,SAGD,55969,AOCLM,Athabasca Oil Corporation,Athabasca,3.163149243,Leismer,962.3,177038.3,NA,11
2018,2018-08,19,NA,125.5,18504,NA,2598.1,SAGD,56321,COGGD,Connacher Oil And Gas Limited,Athabasca,4.968258731,GreatDivide,1987.4,279817.3,NA,7
2018,2018-02,19,NA,77.1,15965,0.4,2578.6,SAGD,56603,COGGD,Connacher Oil And Gas Limited,Athabasca,4.320195678,GreatDivide,1322.4,244536.9,NA,7
2018,2018-10,19,NA,90.1,18649,NA,2821.1,SAGD,56814,COGGD,Connacher Oil And Gas Limited,Athabasca,4.964056331,GreatDivide,1563.5,282027.4,NA,7
2015,2015-07,11,NA,0.2,25817,NA,NA,SAGD,57138,HSETL,Husky,Cold Lake,5.948832651,TuckerLake,2615.5,339904.4,NA,12
2015,2015-05,16,NA,19.8,10937,NA,NA,SAGD,57341,PGFLB,Pengrowth,Cold Lake,2.177553078,Lindbergh,1323,124862.2,NA,11
2018,2018-05,21,NA,1.9,12108,147.4,NA,SAGD,57709,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.91815329,Hangingstone,207.9,168404,NA,11
2018,2018-07,19,NA,69,19935,NA,1120.9,SAGD,58466,COGGD,Connacher Oil And Gas Limited,Athabasca,4.828054446,GreatDivide,1707.3,282275.1,NA,7
2017,2017-01,19,NA,142.6,18263,0.1,2947.4,SAGD,58796,COGGD,Connacher Oil And Gas Limited,Athabasca,4.717117807,GreatDivide,1632.4,277345.3,NA,7
2019,2019-11,19,NA,67.7,17676,NA,2509.2,SAGD,58817,COGGD,Connacher Oil And Gas Limited,Athabasca,4.642657735,GreatDivide,1377.7,273067.2,NA,7
2015,2015-10,8,NA,130,35448,NA,NA,SAGD,58854,HSESR,Husky,Athabasca,7.491597909,Sunrise,439.3,440913.5,NA,12
2019,2019-12,19,NA,71,18874,NA,1791.7,SAGD,58953,COGGD,Connacher Oil And Gas Limited,Athabasca,4.729433936,GreatDivide,1456.6,278812.9,NA,7
2019,2019-10,19,NA,85.2,17120,NA,2817,SAGD,59285,COGGD,Connacher Oil And Gas Limited,Athabasca,4.523269759,GreatDivide,1415.3,268162.5,NA,7
2018,2018-06,19,NA,68.9,17955,NA,2593.3,SAGD,59326,COGGD,Connacher Oil And Gas Limited,Athabasca,4.636522542,GreatDivide,1630.9,275066.8,NA,7
2017,2017-03,19,NA,125.1,18084,96.9,2886.1,SAGD,59504,COGGD,Connacher Oil And Gas Limited,Athabasca,4.58749269,GreatDivide,1763,272976,NA,7
2018,2018-04,19,NA,0.1,17795,0.2,2745.9,SAGD,59608,COGGD,Connacher Oil And Gas Limited,Athabasca,4.562085308,GreatDivide,1316.5,271934.5,NA,7
2018,2018-11,21,NA,NA,15231,146.4,NA,SAGD,59944,JCOS,Japan Canada Oil Sands Limited,Athabasca,3.254506267,Hangingstone,216.7,195089.1,NA,13
2018,2018-04,21,NA,NA,13442,73.7,NA,SAGD,60267,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.947671457,Hangingstone,268.9,177648.2,NA,11
2015,2015-08,11,NA,0.7,23640,NA,NA,SAGD,60425,HSETL,Husky,Cold Lake,5.153063741,TuckerLake,2482.5,311371.3,NA,12
2017,2017-06,19,NA,7.6,18226,NA,2748.7,SAGD,60797,COGGD,Connacher Oil And Gas Limited,Athabasca,4.554539967,GreatDivide,1758.3,276901,NA,7
2018,2018-12,21,NA,0.5,16482,291.9,NA,SAGD,60927,JCOS,Japan Canada Oil Sands Limited,Athabasca,3.512484674,Hangingstone,278.2,214004.1,NA,13
2017,2017-09,19,NA,146.1,18365,NA,1302.7,SAGD,61371,COGGD,Connacher Oil And Gas Limited,Athabasca,4.422946193,GreatDivide,1624.2,271442.4,NA,7
2018,2018-01,19,NA,85.1,17948,0.3,2990.1,SAGD,62106,COGGD,Connacher Oil And Gas Limited,Athabasca,4.422970653,GreatDivide,982.8,274693.9,NA,7
2017,2017-07,19,NA,4.4,18758,0.3,1905.7,SAGD,62159,COGGD,Connacher Oil And Gas Limited,Athabasca,4.549329219,GreatDivide,2067.1,282781.3,NA,7
2017,2017-05,19,NA,7.5,19001,NA,2748.7,SAGD,62383,COGGD,Connacher Oil And Gas Limited,Athabasca,4.638330512,GreatDivide,1556.8,289353.9,NA,7
2018,2018-03,19,NA,0.5,18377,0.1,2776.2,SAGD,62494,COGGD,Connacher Oil And Gas Limited,Athabasca,4.492866492,GreatDivide,1314.8,280776.3,1.7,7
2019,2019-01,20,NA,10.6,19026,NA,NA,SAGD,62526,OSUM,Osum,Cold Lake,4.708637805,Orion,779.9,294413.7,NA,7
2018,2018-05,19,NA,0.6,18549,NA,2704.5,SAGD,63176,COGGD,Connacher Oil And Gas Limited,Athabasca,4.511187055,GreatDivide,1978.8,284997.4,NA,7
2017,2017-08,19,NA,83.3,19231,NA,1.9,SAGD,63834,COGGD,Connacher Oil And Gas Limited,Athabasca,4.328909915,GreatDivide,2143.4,276333.8,NA,7
2017,2017-04,16,NA,NA,10877,NA,3244.3,SAGD,64270,PGFLB,Pengrowth,Cold Lake,2.87254902,Lindbergh,443.4,184619.3,NA,13
2017,2017-11,19,NA,75.9,18038,0.1,2873.3,SAGD,64770,COGGD,Connacher Oil And Gas Limited,Athabasca,4.274873899,GreatDivide,1482.7,276882.3,NA,7
2017,2017-10,19,NA,9,18210,NA,2821,SAGD,64904,COGGD,Connacher Oil And Gas Limited,Athabasca,4.327991557,GreatDivide,1541.9,280901.8,NA,7
2017,2017-12,19,NA,1.6,18321,NA,2953.5,SAGD,65062,COGGD,Connacher Oil And Gas Limited,Athabasca,4.339379911,GreatDivide,1304.4,282327,NA,7
